Numero,Nombre,Direccion,Diesel,Magna,Premium,Latitud,Longitud
PL/10156/EXP/ES/2015,FEDERICO LÓPEZ LÓPEZ,Carretera Ures-Hermosillo Km 3.5,28.99,,28.99,29.0820931,-110.9421558
PL/10244/EXP/ES/2015,GP GASOLINERA PERINORTE S.A. DE C.V.,Avenida Camino del Seri 1242,,,29.0,29.0566676,-111.0158532
PL/10321/EXP/ES/2015,SERVICIOS DEL REAL DEL ALAMITO S.A. DE C.V.,Carretera Hermosillo Ures Entronq.Carretera del Real A.No. 1,28.99,23.89,28.79,29.1454227,-111.0239231
PL/10327/EXP/ES/2015,SERVICIO EL KENO S.A. DE C.V.,José Ma Mendoza 794,28.99,22.93,27.99,29.1018976,-110.9932532
PL/10366/EXP/ES/2015,"ESTACION PIRU, S.A. DE C.V.",Xolotl No. 244,,23.99,28.99,29.024009,-110.9462506
PL/10370/EXP/ES/2015,MIGRAG GRUPO CONSTUCTOR S.A. DE C.V.,Periférico Norte 4,,22.99,27.9,29.1090202,-110.9519908
PL/10696/EXP/ES/2015,GASOLINERA RS S.A. DE C.V.,Margarita Maza de Juárez Y José López Portillo Sn,,23.49,28.99,29.1231346,-110.9885709
PL/10740/EXP/ES/2015,ESTACIÓN DE SERVICIO QUIROGA S.A. DE C.V.,Boulevard Luis Donaldo Colosio 862 Esquinaboulevard Quiroga,,22.99,28.99,29.081524,-111.0219864
PL/10761/EXP/ES/2015,"CORPORATIVO ENERVISION, S.A.P.I. DE C.V.",Boulevard López Portillo No. 189,29.99,24.39,29.99,29.1258695,-110.9639566
PL/10763/EXP/ES/2015,"CORPORATIVO ENERVISION, S.A.P.I. DE C.V.",Boulevard Gomez Farias Y Boulevard Ignacio Soto No. 16,,24.39,29.99,29.1087649,-110.9497402
PL/10764/EXP/ES/2015,"CORPORATIVO ENERVISION, S.A.P.I. DE C.V.",Boulevard de Los Ganaderos S/N,,24.39,29.99,29.0362758,-110.9399518
PL/10768/EXP/ES/2015,"CORPORATIVO ENERVISION, S.A.P.I. DE C.V.",Boulevard Quiroga No. 555,29.99,24.39,29.99,29.12112419999999,-111.0232697
PL/10769/EXP/ES/2015,"CORPORATIVO ENERVISION, S.A.P.I. DE C.V.",Boulevard Juan Navarrete No. 480,,24.39,29.99,29.0882492,-110.9964393
PL/10772/EXP/ES/2015,"CORPORATIVO ENERVISION, S.A.P.I. DE C.V.",Boulevard Paseo Las Palmas No. 1,29.99,24.39,29.99,29.0399766,-110.9395311
PL/10850/EXP/ES/2015,ESTACIÓN DE SERVICIO EL PILOTO S.A. DE C.V.,Carretera a Nogales Km 5.5,29.99,22.99,28.99,29.0265015,-110.911048
PL/11254/EXP/ES/2015,GASOLINERA TRANSVERSAL S.A. DE C.V.,Boulevard Luis Encinas No. 99,,22.99,28.99,29.0847663,-110.9567501
PL/11257/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Carretera Internacional a Nogales Km 9.8,28.49,23.99,27.99,29.1705174,-110.9152711
PL/11331/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Bulevar Enrique Mazon López No. 735,28.49,23.99,27.99,29.098658,-110.9207296
PL/11345/EXP/ES/2015,AUTO SERVICIO SACRAMENTO S.A. DE C.V.,Boulevard Progreso No. 72 Poniente,,23.69,29.99,29.1436701,-111.0088733
PL/11425/EXP/ES/2015,ROQUIS S.A. DE C.V.,Carretera Internacional México (15) Tramo Cd. Obregón-Hermosillo,28.7,23.8,28.5,27.4731537,-109.9165794
PL/11454/EXP/ES/2015,QAR SUPERGAS S.A. DE C.V.,Francisco Monteverde No. 60,,23.3,28.19,29.0929725,-110.9698453
PL/12706/EXP/ES/2015,GRUPO EL REY CORPORATIVO S. DE R.L. DE C.V.,Boulevard Lázaro Cárdenas S/N,29.79,23.79,29.79,29.131686,-111.0068532
PL/12736/EXP/ES/2015,CM COMBUSTIBLES S.A. DE C.V.,Boulevard Ignacio Salazar Esquina Calle de Las Misiones,,22.98,28.55,29.116614,-110.9975024
PL/12741/EXP/ES/2015,AUTOSERVICIO TRANSVERSAL S.A. DE C.V.,Reforma No. 224,,24.59,28.99,29.0735354,-110.9653765
PL/12755/EXP/ES/2015,AGA COMBUSTIBLES S.A. DE C.V.,Boulevard Paseo Rio Sonora Norte No. 567,28.5,23.0,28.5,29.0682396,-111.0022697
PL/12892/EXP/ES/2015,POWER GAS SA DE CV,Boulevard Camino del Seri No. 1120,,23.3,28.19,29.0592042,-111.0058981
PL/13140/EXP/ES/2016,ESTACIÓN DE SERVICIO DEL DESIERTO S.A. DE C.V.,Carretera Hermosillo - Nogales 1309,27.99,23.99,29.99,29.0798605,-110.9570001
PL/13215/EXP/ES/2016,MULTILIQUIDOS DE HERMOSILLO,Carretera a Bahia de Kino Lado Oeste No. 84 San Franci,28.89,23.99,28.49,28.8227474,-111.9363016
PL/13547/EXP/ES/2016,"CORPORATIVO ENERVISION, S.A.P.I. DE C.V.",Boulevard Navarrete No. 130,,24.39,29.99,29.0862086,-110.9738574
