_id,Estado,CodMunicipio,MUNICIPIO
1,AGUASCALIENTES,1,AGUASCALIENTES
2,AGUASCALIENTES,2,ASIENTOS
3,AGUASCALIENTES,3,CALVILLO
4,AGUASCALIENTES,4,COSÍO
5,AGUASCALIENTES,5,JESÚS MARÍA
6,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA
7,AGUASCALIENTES,7,RINCÓN DE ROMOS
8,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA
9,AGUASCALIENTES,9,TEPEZALÁ
10,AGUASCALIENTES,10,EL LLANO
11,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO
12,BAJA CALIFORNIA,1,ENSENADA
13,BAJA CALIFORNIA,2,MEXICALI
14,BAJA CALIFORNIA,3,TECATE
15,BAJA CALIFORNIA,4,TIJUANA
16,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO
17,BAJA CALIFORNIA,6,SAN QUINTÍN
18,BAJA CALIFORNIA,7,SAN FELIPE
19,BAJA CALIFORNIA SUR,1,COMONDÚ
20,BAJA CALIFORNIA SUR,2,MULEGÉ
21,BAJA CALIFORNIA SUR,3,LA PAZ
22,BAJA CALIFORNIA SUR,8,LOS CABOS
23,BAJA CALIFORNIA SUR,9,LORETO
24,CAMPECHE,1,CALKINÍ
25,CAMPECHE,2,CAMPECHE
26,CAMPECHE,3,CARMEN
27,CAMPECHE,4,CHAMPOTÓN
28,CAMPECHE,5,HECELCHAKÁN
29,CAMPECHE,6,HOPELCHÉN
30,CAMPECHE,7,PALIZADA
31,CAMPECHE,8,TENABO
32,CAMPECHE,9,ESCÁRCEGA
33,CAMPECHE,10,CALAKMUL
34,CAMPECHE,11,CANDELARIA
35,CAMPECHE,12,SEYBAPLAYA
36,CAMPECHE,13,DZITBALCHÉ
37,COAHUILA DE ZARAGOZA,1,ABASOLO
38,COAHUILA DE ZARAGOZA,2,ACUÑA
39,COAHUILA DE ZARAGOZA,3,ALLENDE
40,COAHUILA DE ZARAGOZA,4,ARTEAGA
41,COAHUILA DE ZARAGOZA,5,CANDELA
42,COAHUILA DE ZARAGOZA,6,CASTAÑOS
43,COAHUILA DE ZARAGOZA,7,CUATRO CIÉNEGAS
44,COAHUILA DE ZARAGOZA,8,ESCOBEDO
45,COAHUILA DE ZARAGOZA,9,FRANCISCO I. MADERO
46,COAHUILA DE ZARAGOZA,10,FRONTERA
47,COAHUILA DE ZARAGOZA,11,GENERAL CEPEDA
48,COAHUILA DE ZARAGOZA,12,GUERRERO
49,COAHUILA DE ZARAGOZA,13,HIDALGO
50,COAHUILA DE ZARAGOZA,14,JIMÉNEZ
51,COAHUILA DE ZARAGOZA,15,JUÁREZ
52,COAHUILA DE ZARAGOZA,16,LAMADRID
53,COAHUILA DE ZARAGOZA,17,MATAMOROS
54,COAHUILA DE ZARAGOZA,18,MONCLOVA
55,COAHUILA DE ZARAGOZA,19,MORELOS
56,COAHUILA DE ZARAGOZA,20,MÚZQUIZ
57,COAHUILA DE ZARAGOZA,21,NADADORES
58,COAHUILA DE ZARAGOZA,22,NAVA
59,COAHUILA DE ZARAGOZA,23,OCAMPO
60,COAHUILA DE ZARAGOZA,24,PARRAS
61,COAHUILA DE ZARAGOZA,25,PIEDRAS NEGRAS
62,COAHUILA DE ZARAGOZA,26,PROGRESO
63,COAHUILA DE ZARAGOZA,27,RAMOS ARIZPE
64,COAHUILA DE ZARAGOZA,28,SABINAS
65,COAHUILA DE ZARAGOZA,29,SACRAMENTO
66,COAHUILA DE ZARAGOZA,30,SALTILLO
67,COAHUILA DE ZARAGOZA,31,SAN BUENAVENTURA
68,COAHUILA DE ZARAGOZA,32,SAN JUAN DE SABINAS
69,COAHUILA DE ZARAGOZA,33,SAN PEDRO
70,COAHUILA DE ZARAGOZA,34,SIERRA MOJADA
71,COAHUILA DE ZARAGOZA,35,TORREÓN
72,COAHUILA DE ZARAGOZA,36,VIESCA
73,COAHUILA DE ZARAGOZA,37,VILLA UNIÓN
74,COAHUILA DE ZARAGOZA,38,ZARAGOZA
75,COLIMA,1,ARMERÍA
76,COLIMA,2,COLIMA
77,COLIMA,3,COMALA
78,COLIMA,4,COQUIMATLÁN
79,COLIMA,5,CUAUHTÉMOC
80,COLIMA,6,IXTLAHUACÁN
81,COLIMA,7,MANZANILLO
82,COLIMA,8,MINATITLÁN
83,COLIMA,9,TECOMÁN
84,COLIMA,10,VILLA DE ÁLVAREZ
85,CHIAPAS,1,ACACOYAGUA
86,CHIAPAS,2,ACALA
87,CHIAPAS,3,ACAPETAHUA
88,CHIAPAS,4,ALTAMIRANO
89,CHIAPAS,5,AMATÁN
90,CHIAPAS,6,AMATENANGO DE LA FRONTERA
91,CHIAPAS,7,AMATENANGO DEL VALLE
92,CHIAPAS,8,ÁNGEL ALBINO CORZO
93,CHIAPAS,9,ARRIAGA
94,CHIAPAS,10,BEJUCAL DE OCAMPO
95,CHIAPAS,11,BELLA VISTA
96,CHIAPAS,12,BERRIOZÁBAL
97,CHIAPAS,13,BOCHIL
98,CHIAPAS,14,EL BOSQUE
99,CHIAPAS,15,CACAHOATÁN
100,CHIAPAS,16,CATAZAJÁ
101,CHIAPAS,17,CINTALAPA DE FIGUEROA
102,CHIAPAS,18,COAPILLA
103,CHIAPAS,19,COMITÁN DE DOMÍNGUEZ
104,CHIAPAS,20,LA CONCORDIA
105,CHIAPAS,21,COPAINALÁ
106,CHIAPAS,22,CHALCHIHUITÁN
107,CHIAPAS,23,CHAMULA
108,CHIAPAS,24,CHANAL
109,CHIAPAS,25,CHAPULTENANGO
110,CHIAPAS,26,CHENALHÓ
111,CHIAPAS,27,CHIAPA DE CORZO
112,CHIAPAS,28,CHIAPILLA
113,CHIAPAS,29,CHICOASÉN
114,CHIAPAS,30,CHICOMUSELO
115,CHIAPAS,31,CHILÓN
116,CHIAPAS,32,ESCUINTLA
117,CHIAPAS,33,FRANCISCO LEÓN
118,CHIAPAS,34,FRONTERA COMALAPA
119,CHIAPAS,35,FRONTERA HIDALGO
120,CHIAPAS,36,LA GRANDEZA
121,CHIAPAS,37,HUEHUETÁN
122,CHIAPAS,38,HUIXTÁN
123,CHIAPAS,39,HUITIUPÁN
124,CHIAPAS,40,HUIXTLA
125,CHIAPAS,41,LA INDEPENDENCIA
126,CHIAPAS,42,IXHUATÁN
127,CHIAPAS,43,IXTACOMITÁN
128,CHIAPAS,44,IXTAPA
129,CHIAPAS,45,IXTAPANGAJOYA
130,CHIAPAS,46,JIQUIPILAS
131,CHIAPAS,47,JITOTOL
132,CHIAPAS,48,JUÁREZ
133,CHIAPAS,49,LARRÁINZAR
134,CHIAPAS,50,LA LIBERTAD
135,CHIAPAS,51,MAPASTEPEC
136,CHIAPAS,52,LAS MARGARITAS
137,CHIAPAS,53,MAZAPA DE MADERO
138,CHIAPAS,54,MAZATÁN
139,CHIAPAS,55,METAPA
140,CHIAPAS,56,MITONTIC
141,CHIAPAS,57,MOTOZINTLA
142,CHIAPAS,58,NICOLÁS RUÍZ
143,CHIAPAS,59,OCOSINGO
144,CHIAPAS,60,OCOTEPEC
145,CHIAPAS,61,OCOZOCOAUTLA DE ESPINOSA
146,CHIAPAS,62,OSTUACÁN
147,CHIAPAS,63,OSUMACINTA
148,CHIAPAS,64,OXCHUC
149,CHIAPAS,65,PALENQUE
150,CHIAPAS,66,PANTELHÓ
151,CHIAPAS,67,PANTEPEC
152,CHIAPAS,68,PICHUCALCO
153,CHIAPAS,69,PIJIJIAPAN
154,CHIAPAS,70,EL PORVENIR
155,CHIAPAS,71,VILLA COMALTITLÁN
156,CHIAPAS,72,PUEBLO NUEVO SOLISTAHUACÁN
157,CHIAPAS,73,RAYÓN
158,CHIAPAS,74,REFORMA
159,CHIAPAS,75,LAS ROSAS
160,CHIAPAS,76,SABANILLA
161,CHIAPAS,77,SALTO DE AGUA
162,CHIAPAS,78,SAN CRISTÓBAL DE LAS CASAS
163,CHIAPAS,79,SAN FERNANDO
164,CHIAPAS,80,SILTEPEC
165,CHIAPAS,81,SIMOJOVEL
166,CHIAPAS,82,SITALÁ
167,CHIAPAS,83,SOCOLTENANGO
168,CHIAPAS,84,SOLOSUCHIAPA
169,CHIAPAS,85,SOYALÓ
170,CHIAPAS,86,SUCHIAPA
171,CHIAPAS,87,SUCHIATE
172,CHIAPAS,88,SUNUAPA
173,CHIAPAS,89,TAPACHULA
174,CHIAPAS,90,TAPALAPA
175,CHIAPAS,91,TAPILULA
176,CHIAPAS,92,TECPATÁN
177,CHIAPAS,93,TENEJAPA
178,CHIAPAS,94,TEOPISCA
179,CHIAPAS,96,TILA
180,CHIAPAS,97,TONALÁ
181,CHIAPAS,98,TOTOLAPA
182,CHIAPAS,99,LA TRINITARIA
183,CHIAPAS,100,TUMBALÁ
184,CHIAPAS,101,TUXTLA GUTIÉRREZ
185,CHIAPAS,102,TUXTLA CHICO
186,CHIAPAS,103,TUZANTÁN
187,CHIAPAS,104,TZIMOL
188,CHIAPAS,105,UNIÓN JUÁREZ
189,CHIAPAS,106,VENUSTIANO CARRANZA
190,CHIAPAS,107,VILLA CORZO
191,CHIAPAS,108,VILLAFLORES
192,CHIAPAS,109,YAJALÓN
193,CHIAPAS,110,SAN LUCAS
194,CHIAPAS,111,ZINACANTÁN
195,CHIAPAS,112,SAN JUAN CANCUC
196,CHIAPAS,113,ALDAMA
197,CHIAPAS,114,BENEMÉRITO DE LAS AMÉRICAS
198,CHIAPAS,115,MARAVILLA TENEJAPA
199,CHIAPAS,116,MARQUÉS DE COMILLAS
200,CHIAPAS,117,MONTECRISTO DE GUERRERO
201,CHIAPAS,118,SAN ANDRÉS DURAZNAL
202,CHIAPAS,119,SANTIAGO EL PINAR
203,CHIAPAS,120,CAPITÁN LUIS ÁNGEL VIDAL
204,CHIAPAS,121,RINCÓN CHAMULA SAN PEDRO
205,CHIAPAS,122,EL PARRAL
206,CHIAPAS,123,EMILIANO ZAPATA
207,CHIAPAS,124,MEZCALAPA
208,CHIAPAS,125,HONDURAS DE LA SIERRA
209,CHIHUAHUA,1,AHUMADA
210,CHIHUAHUA,2,ALDAMA
211,CHIHUAHUA,3,ALLENDE
212,CHIHUAHUA,4,AQUILES SERDÁN
213,CHIHUAHUA,5,ASCENSIÓN
214,CHIHUAHUA,6,BACHÍNIVA
215,CHIHUAHUA,7,BALLEZA
216,CHIHUAHUA,8,BATOPILAS DE MANUEL GÓMEZ MORÍN
217,CHIHUAHUA,9,BOCOYNA
218,CHIHUAHUA,10,BUENAVENTURA
219,CHIHUAHUA,11,CAMARGO
220,CHIHUAHUA,12,CARICHÍ
221,CHIHUAHUA,13,CASAS GRANDES
222,CHIHUAHUA,14,CORONADO
223,CHIHUAHUA,15,COYAME DEL SOTOL
224,CHIHUAHUA,16,LA CRUZ
225,CHIHUAHUA,17,CUAUHTÉMOC
226,CHIHUAHUA,18,CUSIHUIRIACHI
227,CHIHUAHUA,19,CHIHUAHUA
228,CHIHUAHUA,20,CHÍNIPAS
229,CHIHUAHUA,21,DELICIAS
230,CHIHUAHUA,22,DR. BELISARIO DOMÍNGUEZ
231,CHIHUAHUA,23,GALEANA
232,CHIHUAHUA,24,SANTA ISABEL
233,CHIHUAHUA,25,GÓMEZ FARÍAS
234,CHIHUAHUA,26,GRAN MORELOS
235,CHIHUAHUA,27,GUACHOCHI
236,CHIHUAHUA,28,GUADALUPE
237,CHIHUAHUA,29,GUADALUPE Y CALVO
238,CHIHUAHUA,30,GUAZAPARES
239,CHIHUAHUA,31,GUERRERO
240,CHIHUAHUA,32,HIDALGO DEL PARRAL
241,CHIHUAHUA,33,HUEJOTITÁN
242,CHIHUAHUA,34,IGNACIO ZARAGOZA
243,CHIHUAHUA,35,JANOS
244,CHIHUAHUA,36,JIMÉNEZ
245,CHIHUAHUA,37,JUÁREZ
246,CHIHUAHUA,38,JULIMES
247,CHIHUAHUA,39,LÓPEZ
248,CHIHUAHUA,40,MADERA
249,CHIHUAHUA,41,MAGUARICHI
250,CHIHUAHUA,42,MANUEL BENAVIDES
251,CHIHUAHUA,43,MATACHÍ
252,CHIHUAHUA,44,MATAMOROS
253,CHIHUAHUA,45,MEOQUI
254,CHIHUAHUA,46,MORELOS
255,CHIHUAHUA,47,MORIS
256,CHIHUAHUA,48,NAMIQUIPA
257,CHIHUAHUA,49,NONOAVA
258,CHIHUAHUA,50,NUEVO CASAS GRANDES
259,CHIHUAHUA,51,OCAMPO
260,CHIHUAHUA,52,OJINAGA
261,CHIHUAHUA,53,PRAXEDIS G. GUERRERO
262,CHIHUAHUA,54,RIVA PALACIO
263,CHIHUAHUA,55,ROSALES
264,CHIHUAHUA,56,ROSARIO
265,CHIHUAHUA,57,SAN FRANCISCO DE BORJA
266,CHIHUAHUA,58,SAN FRANCISCO DE CONCHOS
267,CHIHUAHUA,59,SAN FRANCISCO DEL ORO
268,CHIHUAHUA,60,SANTA BÁRBARA
269,CHIHUAHUA,61,SATEVÓ
270,CHIHUAHUA,62,SAUCILLO
271,CHIHUAHUA,63,TEMÓSACHIC
272,CHIHUAHUA,64,EL TULE
273,CHIHUAHUA,65,URIQUE
274,CHIHUAHUA,66,URUACHI
275,CHIHUAHUA,67,VALLE DE ZARAGOZA
276,CIUDAD DE MÉXICO,2,AZCAPOTZALCO
277,CIUDAD DE MÉXICO,3,COYOACÁN
278,CIUDAD DE MÉXICO,4,CUAJIMALPA DE MORELOS
279,CIUDAD DE MÉXICO,5,GUSTAVO A. MADERO
280,CIUDAD DE MÉXICO,6,IZTACALCO
281,CIUDAD DE MÉXICO,7,IZTAPALAPA
282,CIUDAD DE MÉXICO,8,LA MAGDALENA CONTRERAS
283,CIUDAD DE MÉXICO,9,MILPA ALTA
284,CIUDAD DE MÉXICO,10,ÁLVARO OBREGÓN
285,CIUDAD DE MÉXICO,11,TLÁHUAC
286,CIUDAD DE MÉXICO,12,TLALPAN
287,CIUDAD DE MÉXICO,13,XOCHIMILCO
288,CIUDAD DE MÉXICO,14,BENITO JUÁREZ
289,CIUDAD DE MÉXICO,15,CUAUHTÉMOC
290,CIUDAD DE MÉXICO,16,MIGUEL HIDALGO
291,CIUDAD DE MÉXICO,17,VENUSTIANO CARRANZA
292,DURANGO,1,CANATLÁN
293,DURANGO,2,CANELAS
294,DURANGO,3,CONETO DE COMONFORT
295,DURANGO,4,CUENCAMÉ
296,DURANGO,5,DURANGO
297,DURANGO,6,GENERAL SIMÓN BOLÍVAR
298,DURANGO,7,GÓMEZ PALACIO
299,DURANGO,8,GUADALUPE VICTORIA
300,DURANGO,9,GUANACEVÍ
301,DURANGO,10,HIDALGO
302,DURANGO,11,INDÉ
303,DURANGO,12,LERDO
304,DURANGO,13,MAPIMÍ
305,DURANGO,14,MEZQUITAL
306,DURANGO,15,NAZAS
307,DURANGO,16,NOMBRE DE DIOS
308,DURANGO,17,OCAMPO
309,DURANGO,18,EL ORO
310,DURANGO,19,OTÁEZ
311,DURANGO,20,PÁNUCO DE CORONADO
312,DURANGO,21,PEÑÓN BLANCO
313,DURANGO,22,POANAS
314,DURANGO,23,PUEBLO NUEVO
315,DURANGO,24,RODEO
316,DURANGO,25,SAN BERNARDO
317,DURANGO,26,SAN DIMAS
318,DURANGO,27,SAN JUAN DE GUADALUPE
319,DURANGO,28,SAN JUAN DEL RÍO
320,DURANGO,29,SAN LUIS DEL CORDERO
321,DURANGO,30,SAN PEDRO DEL GALLO
322,DURANGO,31,SANTA CLARA
323,DURANGO,32,SANTIAGO PAPASQUIARO
324,DURANGO,33,SÚCHIL
325,DURANGO,34,TAMAZULA
326,DURANGO,35,TEPEHUANES
327,DURANGO,36,TLAHUALILO
328,DURANGO,37,TOPIA
329,DURANGO,38,VICENTE GUERRERO
330,DURANGO,39,NUEVO IDEAL
331,GUANAJUATO,1,ABASOLO
332,GUANAJUATO,2,ACÁMBARO
333,GUANAJUATO,3,SAN MIGUEL DE ALLENDE
334,GUANAJUATO,4,APASEO EL ALTO
335,GUANAJUATO,5,APASEO EL GRANDE
336,GUANAJUATO,6,ATARJEA
337,GUANAJUATO,7,CELAYA
338,GUANAJUATO,8,MANUEL DOBLADO
339,GUANAJUATO,9,COMONFORT
